,Model,MSE_Original,R2_Original,MSE_Feature_Eng,R2_Feature_Eng,MSE_Tuned,R2_Tuned
3,svr,1353869336.933242,-0.1670902447277003,1346295885.9213972,-0.16056162298132937,899989782.4468464,0.2241723283078444
1,lasso,604149758.0781158,0.479198420576729,590964991.7745572,0.490564223547608,590964991.7745572,0.490564223547608
0,ridge,604149589.918187,0.4791985655374037,591195350.0758452,0.49036564535480076,593436686.5748942,0.48843352244468485
4,kneighbors,579811333.1715176,0.500179129353893,78257321.86811149,0.932539016551128,60734754.995142706,0.9476441794366061
6,adaboost,309094520.0199239,0.7335479952362405,324704418.1050938,0.7200916303719156,207071205.7114956,0.8214962274739768
5,gbr,74572870.78457884,0.9357151627267316,64829438.39752571,0.9441143963742356,49814083.830630146,0.9570582406272172
8,lightgbm,44782925.64354958,0.9613953029120639,61175110.47311082,0.9472645751656997,55219132.8887401,0.9523988692566505
2,random_forest,39476175.68521017,0.9659699364742778,46116023.55603398,0.9602461184771378,42409402.19084398,0.9634413763341564
7,extra_trees,27867697.0331935,0.9759769155979703,31524266.382353205,0.9728248046075247,31000387.956429843,0.9732764090449982
